==============================================================================================================
    Date     Time  Temp SpCond   Cond  Resist    Sal DOsat     DO DOchrg   Depth    pH      pH     Orp Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm  Ohm*cm    ppt     %   mg/L         meters            mV      mV   volts
--------------------------------------------------------------------------------------------------------------
10/24/19 13:05:20 10.64  0.312    226 4423.40   0.15 109.8  12.20   29.3   0.738  8.21   -71.0   180.1     6.3
10/24/19 13:20:20 10.65  0.312    226 4419.82   0.15 109.4  12.15   29.3   0.738  8.05   -62.4   210.0     6.3
10/24/19 13:35:20 10.63  0.312    226 4416.32   0.15 108.2  12.03   28.7   0.731  8.02   -60.4   220.3     6.3
10/24/19 13:50:20 10.65  0.312    227 4409.34   0.15 108.6  12.07   28.7   0.731  8.02   -60.3   224.5     6.3
10/24/19 14:05:20 10.59  0.313    227 4412.90   0.15 108.5  12.07   28.7   0.732  8.02   -60.4   226.9     6.3
10/24/19 14:20:20 10.60  0.313    227 4404.30   0.15 107.8  11.99   27.5   0.727  8.02   -60.4   228.7     6.3
10/24/19 14:35:20 10.65  0.314    228 4393.01   0.15 107.0  11.89   28.7   0.725  8.01   -59.8   230.4     6.3
10/24/19 14:50:20 10.74  0.314    228 4378.55   0.15 106.6  11.81   28.7   0.728  8.00   -59.6   231.2     6.3
10/24/19 15:05:20 10.82  0.314    229 4367.97   0.15 106.4  11.77   27.5   0.726  8.00   -59.7   231.9     6.4
10/24/19 15:20:20 10.74  0.314    229 4374.24   0.15 106.2  11.77   28.7   0.722  8.01   -59.9   232.5     6.3
10/24/19 15:35:20 10.81  0.315    229 4360.42   0.15 106.4  11.78   27.5   0.729  8.01   -59.9   233.2     6.3
10/24/19 15:50:20 10.80  0.315    230 4354.12   0.15 106.3  11.77   28.7   0.731  8.01   -60.2   233.5     6.3
10/24/19 16:05:20 10.73  0.316    230 4351.15   0.15 105.5  11.70   26.4   0.732  8.01   -60.2   233.9     6.3
10/24/19 16:20:20 10.73  0.316    230 4347.98   0.15 105.6  11.71   27.5   0.733  8.01   -60.2   234.2     6.3
10/24/19 16:35:20 10.74  0.316    230 4344.59   0.15 105.2  11.66   27.5   0.734  8.02   -60.3   234.6     6.3
10/24/19 16:50:20 10.78  0.316    230 4345.38   0.15 105.9  11.73   28.7   0.736  8.02   -60.5   235.1     6.3
10/24/19 17:05:20 10.82  0.315    230 4351.52   0.15 105.7  11.69   27.5   0.736  8.02   -60.8   235.4     6.3
10/24/19 17:20:20 10.91  0.316    231 4330.31   0.15 106.3  11.73   27.5   0.744  8.03   -61.0   235.9     6.3
10/24/19 17:35:20 10.88  0.316    231 4334.82   0.15 106.1  11.73   27.5   0.746  8.03   -61.1   236.1     6.3
10/24/19 17:50:20 10.85  0.316    231 4337.19   0.15 106.3  11.75   27.5   0.750  8.03   -61.0   236.4     6.3
10/24/19 18:05:20 10.82  0.315    229 4358.03   0.15 106.6  11.79   27.5   0.754  8.03   -60.9   236.8     6.3
10/24/19 18:20:20 10.74  0.314    229 4369.94   0.15 105.6  11.70   27.5   0.757  8.02   -60.5   236.9     6.3
10/24/19 18:35:20 10.83  0.315    230 4350.36   0.15 110.4  12.22   27.5   0.758  8.06   -62.6   237.1     6.3
10/24/19 18:50:20 10.69  0.315    229 4362.89   0.15 106.3  11.80   27.5   0.761  8.03   -61.1   237.2     6.3
10/24/19 19:05:20 10.90  0.315    230 4338.70   0.15 108.9  12.03   27.5   0.764  8.05   -62.0   237.6     6.3
10/24/19 19:20:20 10.83  0.316    230 4344.74   0.15 108.1  11.96   27.5   0.766  8.05   -62.0   237.5     6.3
10/24/19 19:35:20 10.82  0.316    230 4344.59   0.15 107.1  11.85   27.5   0.769  8.04   -61.6   237.9     6.3
10/24/19 19:50:20 10.83  0.315    230 4347.40   0.15 106.0  11.72   27.5   0.769  8.03   -61.2   238.5     6.3
10/24/19 20:05:20 10.83  0.315    230 4346.97   0.15 106.2  11.74   27.5   0.770  8.03   -61.3   238.6     6.3
10/24/19 20:20:20 10.82  0.315    230 4349.64   0.15 105.2  11.64   27.5   0.773  8.03   -61.2   238.9     6.3
10/24/19 20:35:20 10.80  0.315    230 4353.76   0.15 104.8  11.60   26.4   0.772  8.02   -60.8   239.2     6.3
10/24/19 20:50:20 10.80  0.315    230 4355.49   0.15 105.0  11.62   27.5   0.772  8.02   -60.6   239.3     6.3
10/24/19 21:05:20 10.79  0.315    229 4358.46   0.15 104.2  11.53   26.4   0.774  8.02   -60.4   239.4     6.3
10/24/19 21:20:20 10.78  0.315    229 4360.13   0.15 104.4  11.56   26.4   0.778  8.01   -60.2   239.6     6.3
10/24/19 21:35:20 10.77  0.315    229 4361.80   0.15 103.8  11.50   27.5   0.779  8.02   -60.3   239.6     6.3
10/24/19 21:50:20 10.77  0.315    229 4363.32   0.15 104.0  11.52   26.4   0.781  8.01   -60.1   239.9     6.3
10/24/19 22:05:20 10.74  0.315    229 4364.19   0.15 103.8  11.50   26.4   0.782  8.02   -60.5   239.9     6.3
10/24/19 22:20:20 10.75  0.315    229 4358.46   0.15 105.1  11.65   26.4   0.783  8.03   -61.0   240.1     6.3
10/24/19 22:35:20 10.74  0.315    229 4360.71   0.15 103.8  11.51   26.4   0.784  8.03   -60.9   240.1     6.3
10/24/19 22:50:20 10.74  0.315    229 4364.85   0.15 103.9  11.52   26.4   0.785  8.02   -60.4   240.2     6.3
10/24/19 23:05:20 10.73  0.315    229 4367.10   0.15 103.5  11.47   26.4   0.785  8.01   -59.8   240.7     6.3
10/24/19 23:20:20 10.73  0.315    229 4365.94   0.15 104.1  11.54   26.4   0.787  8.03   -60.9   240.8     6.3
10/24/19 23:35:20 10.74  0.315    229 4363.68   0.15 104.3  11.56   26.4   0.789  8.03   -60.9   240.9     6.3
10/24/19 23:50:20 10.80  0.315    229 4362.09   0.15 103.4  11.44   26.4   0.789  8.02   -60.6   241.1     6.3
10/25/19 00:05:20 10.80  0.315    229 4361.94   0.15 103.5  11.45   27.5   0.789  8.02   -60.6   241.5     6.3
10/25/19 00:20:20 10.76  0.315    229 4364.63   0.15 103.2  11.44   26.4   0.791  8.02   -60.8   241.7     6.3
10/25/19 00:35:20 10.75  0.315    229 4366.01   0.15 103.5  11.46   26.4   0.792  8.02   -60.8   241.8     6.3
10/25/19 00:50:20 10.72  0.315    229 4368.05   0.15 103.0  11.42   26.4   0.790  8.02   -60.8   241.9     6.3
10/25/19 01:05:20 10.73  0.315    229 4365.57   0.15 102.7  11.39   26.4   0.790  8.02   -60.7   241.9     6.3
10/25/19 01:20:20 10.72  0.315    229 4366.81   0.15 103.0  11.42   26.4   0.790  8.02   -60.6   241.9     6.3
10/25/19 01:35:20 10.70  0.316    229 4357.88   0.15 102.7  11.39   26.4   0.789  8.02   -60.4   242.2     6.3
10/25/19 01:50:20 10.68  0.315    229 4363.32   0.15 101.8  11.30   26.4   0.790  8.01   -60.2   242.2     6.3
10/25/19 02:05:20 10.65  0.317    230 4350.87   0.15 101.7  11.30   26.4   0.788  8.02   -60.4   242.4     6.3
10/25/19 02:20:20 10.66  0.317    230 4342.07   0.15 101.3  11.25   26.4   0.791  8.02   -60.7   242.4     6.3
10/25/19 02:35:20 10.65  0.317    230 4343.80   0.15 101.5  11.27   26.4   0.790  8.02   -60.5   242.6     6.3
10/25/19 02:50:20 10.63  0.317    230 4347.11   0.15 101.3  11.25   26.4   0.790  8.02   -60.4   242.7     6.3
10/25/19 03:05:20 10.62  0.318    230 4340.85   0.15 101.5  11.28   25.2   0.789  8.03   -60.9   243.0     6.3
10/25/19 03:20:20 10.61  0.318    231 4331.88   0.15 101.4  11.27   26.4   0.789  8.04   -61.6   243.0     6.3
10/25/19 03:35:20 10.59  0.319    231 4326.45   0.15 101.5  11.29   26.4   0.789  8.04   -61.7   243.2     6.3
10/25/19 03:50:20 10.57  0.320    232 4309.45   0.15 102.0  11.35   26.4   0.788  8.07   -63.4   243.0     6.3
10/25/19 04:05:20 10.57  0.320    232 4314.27   0.15 101.6  11.31   26.4   0.788  8.06   -62.5   243.3     6.3
10/25/19 04:20:20 10.56  0.321    232 4304.15   0.15 102.1  11.37   25.2   0.788  8.08   -64.0   243.2     6.3
10/25/19 04:35:20 10.55  0.321    233 4299.27   0.15 102.2  11.37   26.4   0.789  8.08   -63.7   243.4     6.3
10/25/19 04:50:20 10.54  0.321    232 4303.79   0.15 101.2  11.26   25.2   0.791  8.07   -63.4   243.5     6.3
10/25/19 05:05:20 10.54  0.321    232 4302.24   0.15 101.1  11.26   26.4   0.790  8.07   -63.2   243.7     6.3
10/25/19 05:20:20 10.53  0.321    232 4306.55   0.15  99.9  11.13   26.4   0.791  8.05   -62.1   243.8     6.3
10/25/19 05:35:20 10.52  0.321    232 4303.23   0.15 100.4  11.19   25.2   0.791  8.05   -62.3   243.8     6.3
10/25/19 05:50:20 10.51  0.321    232 4305.91   0.15  99.4  11.08   26.4   0.792  8.05   -62.0   244.0     6.3
10/25/19 06:05:20 10.50  0.321    232 4310.52   0.15  99.4  11.07   26.4   0.790  8.04   -61.4   244.0     6.3
10/25/19 06:20:20 10.50  0.321    232 4310.02   0.15  98.8  11.01   25.2   0.788  8.03   -61.0   244.2     6.3
10/25/19 06:35:20 10.47  0.321    232 4306.90   0.15  98.7  11.01   26.4   0.788  8.03   -61.3   244.2     6.3
10/25/19 06:50:20 10.48  0.317    229 4369.28   0.15  98.5  10.98   25.2   0.789  8.00   -59.4   244.6     6.3
10/25/19 07:05:20 10.48  0.317    229 4368.70   0.15  98.2  10.95   25.2   0.789  8.00   -59.3   245.0     6.3
10/25/19 07:20:20 10.48  0.317    229 4369.79   0.15  98.7  11.01   26.4   0.789  8.00   -59.4   244.9     6.3
10/25/19 07:35:20 10.47  0.317    229 4360.42   0.15  98.2  10.95   26.4   0.788  8.00   -59.5   244.8     6.3
10/25/19 07:50:20 10.48  0.316    229 4373.44   0.15  99.0  11.04   25.2   0.787  8.00   -59.4   244.9     6.3
10/25/19 08:05:20 10.47  0.316    229 4373.22   0.15  98.6  11.00   26.4   0.790  8.00   -59.6   245.4     6.3
10/25/19 08:20:20 10.52  0.317    230 4354.98   0.15  99.1  11.04   25.2   0.791  8.02   -60.3   245.5     6.3
10/25/19 08:35:20 10.53  0.317    230 4353.47   0.15  99.5  11.08   25.2   0.790  8.02   -60.5   245.8     6.3
10/25/19 08:50:20 10.52  0.317    230 4356.29   0.15  99.0  11.03   26.4   0.794  8.02   -60.7   245.9     6.3
10/25/19 09:05:20 10.52  0.317    229 4357.81   0.15  99.3  11.06   26.4   0.793  8.02   -60.5   246.0     6.3
10/25/19 09:20:20 10.53  0.317    230 4356.58   0.15  99.2  11.05   25.2   0.793  8.02   -60.4   246.1     6.3
10/25/19 09:35:20 10.53  0.317    230 4354.48   0.15  99.0  11.03   25.2   0.792  8.02   -60.5   246.1     6.3
10/25/19 09:50:20 10.54  0.317    229 4358.46   0.15  98.8  11.00   26.4   0.789  8.01   -60.1   246.2     6.3
10/25/19 10:05:20 10.56  0.317    230 4355.42   0.15  98.7  10.99   25.2   0.789  8.01   -59.9   246.3     6.3
10/25/19 10:20:20 10.55  0.317    230 4354.48   0.15  98.7  10.98   25.2   0.789  8.01   -60.0   246.3     6.3
10/25/19 10:35:20 10.55  0.318    230 4347.91   0.15  98.2  10.93   25.2   0.785  8.01   -60.1   246.4     6.3
10/25/19 10:50:20 10.55  0.317    230 4351.37   0.15  98.2  10.94   25.2   0.783  8.01   -59.9   246.5     6.3
10/25/19 11:05:20 10.55  0.318    230 4350.58   0.15  97.8  10.89   25.2   0.781  8.01   -59.8   246.6     6.3
10/25/19 11:20:20 10.54  0.317    230 4352.67   0.15  98.0  10.91   25.2   0.782  8.01   -59.8   246.7     6.3
10/25/19 11:35:20 10.55  0.317    230 4357.23   0.15  97.4  10.84   25.2   0.780  8.01   -59.8   246.8     6.3
10/25/19 11:50:20 10.55  0.317    229 4358.46   0.15  97.4  10.85   26.4   0.780  8.00   -59.4   246.9     6.3
10/25/19 12:05:20 10.55  0.317    229 4358.46   0.15  97.5  10.85   25.2   0.777  8.00   -59.4   247.0     6.3
10/25/19 12:20:20 10.54  0.317    229 4357.74   0.15  97.1  10.81   25.2   0.772  8.00   -59.4   247.1     6.3
10/25/19 12:35:20 10.53  0.317    229 4359.33   0.15  97.2  10.82   25.2   0.773  8.00   -59.4   247.1     6.3
10/25/19 12:50:20 10.53  0.317    229 4360.13   0.15  97.0  10.80   25.2   0.770  8.00   -59.3   247.4     6.3
10/25/19 13:05:20 10.53  0.317    229 4361.00   0.15  96.9  10.79   25.2   0.764  7.99   -58.8   247.4     6.3
10/25/19 13:20:20 10.52  0.317    230 4356.07   0.15  96.4  10.74   25.2   0.758  7.99   -59.0   247.1     6.3
10/25/19 13:35:20 10.51  0.317    230 4355.06   0.15  96.5  10.75   25.2   0.755  7.99   -59.0   247.2     6.3
10/25/19 13:50:20 10.51  0.317    229 4357.37   0.15  96.2  10.72   24.6   0.754  7.99   -58.7   247.3     6.3
10/25/19 14:05:20 10.51  0.317    230 4356.29   0.15  96.4  10.74   25.2   0.750  7.99   -58.9   247.4     6.3
10/25/19 14:20:20 10.51  0.317    230 4355.56   0.15  96.3  10.73   25.2   0.746  7.99   -58.7   247.4     6.3
10/25/19 14:35:20 10.51  0.317    230 4357.23   0.15  96.1  10.71   25.2   0.744  7.99   -58.8   247.4     6.3
10/25/19 14:50:20 10.54  0.317    230 4353.03   0.15  95.9  10.68   25.2   0.745  8.00   -59.2   247.3     6.3
10/25/19 15:05:20 10.53  0.317    229 4359.55   0.15  95.8  10.67   24.6   0.746  7.99   -58.9   247.4     6.3
10/25/19 15:20:20 10.61  0.317    230 4348.19   0.15  96.3  10.70   26.4   0.747  8.00   -59.2   247.4     6.3
10/25/19 15:35:20 10.75  0.318    232 4315.55   0.15  96.8  10.73   25.2   0.747  8.01   -60.0   247.8     6.3
10/25/19 15:50:20 10.63  0.317    230 4345.96   0.15  96.2  10.69   25.2   0.746  8.00   -59.5   247.7     6.3
10/25/19 16:05:20 10.57  0.317    230 4353.47   0.15  95.5  10.63   25.2   0.749  8.00   -59.6   247.6     6.3
10/25/19 16:20:20 10.60  0.317    230 4348.77   0.15  95.6  10.63   25.2   0.748  8.00   -59.4   247.8     6.3
10/25/19 16:35:20 10.56  0.317    230 4355.49   0.15  95.3  10.61   25.2   0.749  8.00   -59.3   247.9     6.3
10/25/19 16:50:20 10.54  0.317    230 4352.31   0.15  95.4  10.62   24.6   0.750  8.00   -59.4   247.9     6.3
10/25/19 17:05:20 10.53  0.318    230 4351.30   0.15  95.1  10.60   25.2   0.752  8.00   -59.3   248.0     6.3
10/25/19 17:20:20 10.53  0.317    230 4354.98   0.15  94.4  10.52   24.6   0.750  7.99   -59.0   248.1     6.3
10/25/19 17:35:20 10.52  0.317    229 4359.33   0.15  94.5  10.53   25.2   0.750  8.00   -59.1   248.2     6.3
10/25/19 17:50:20 10.59  0.318    231 4335.32   0.15  94.9  10.56   25.2   0.749  8.00   -59.5   248.4     6.3
10/25/19 18:05:20 10.61  0.318    231 4336.76   0.15  95.5  10.62   25.2   0.751  8.00   -59.7   248.6     6.3
10/25/19 18:20:20 10.61  0.318    231 4333.53   0.15  95.6  10.62   24.6   0.754  8.01   -59.9   248.7     6.3
10/25/19 18:35:20 10.61  0.318    231 4330.38   0.15  95.6  10.63   25.2   0.754  8.01   -60.0   248.5     6.3
10/25/19 18:50:20 10.60  0.319    231 4331.17   0.15  95.5  10.62   25.2   0.754  8.01   -60.1   248.7     6.3
10/25/19 19:05:20 10.58  0.319    231 4328.52   0.15  95.2  10.59   25.2   0.755  8.01   -60.2   248.7     6.3
10/25/19 19:20:20 10.58  0.319    231 4328.81   0.15  94.9  10.56   25.2   0.758  8.01   -60.0   248.8     6.3
10/25/19 19:35:20 10.58  0.318    231 4335.61   0.15  95.0  10.57   24.6   0.758  8.02   -60.5   248.7     6.3
10/25/19 19:50:20 10.58  0.319    231 4332.53   0.15  95.1  10.59   25.2   0.758  8.02   -60.4   248.8     6.3
10/25/19 20:05:20 10.57  0.318    231 4335.68   0.15  94.8  10.55   24.6   0.755  8.02   -60.5   248.8     6.2
10/25/19 20:20:20 10.55  0.318    230 4338.55   0.15  95.0  10.58   25.2   0.752  8.02   -60.5   248.8     6.2
10/25/19 20:35:20 10.54  0.318    230 4345.82   0.15  94.8  10.56   25.2   0.752  8.02   -60.4   248.8     6.3
10/25/19 20:50:20 10.53  0.318    230 4342.00   0.15  94.4  10.51   25.2   0.754  8.01   -60.1   249.0     6.3
10/25/19 21:05:20 10.56  0.318    230 4338.70   0.15  94.2  10.49   25.2   0.754  8.01   -59.9   249.1     6.3
10/25/19 21:20:20 10.55  0.318    230 4342.00   0.15  93.9  10.45   24.6   0.753  8.01   -60.0   249.0     6.3
10/25/19 21:35:20 10.49  0.318    230 4350.14   0.15  93.7  10.45   25.2   0.755  8.00   -59.4   249.0     6.3
10/25/19 21:50:20 10.49  0.318    230 4345.89   0.15  92.6  10.33   25.2   0.755  7.99   -58.7   248.9     6.3
10/25/19 22:05:20 10.55  0.318    230 4347.04   0.15  93.7  10.44   24.6   0.757  8.00   -59.6   248.8     6.2
10/25/19 22:20:20 10.53  0.318    230 4347.83   0.15  93.6  10.43   24.6   0.757  8.00   -59.6   249.0     6.2
10/25/19 22:35:20 10.56  0.318    230 4346.68   0.15  93.8  10.44   25.2   0.758  8.01   -59.8   249.1     6.3
10/25/19 22:50:20 10.56  0.318    230 4347.83   0.15  93.4  10.40   24.6   0.755  8.01   -59.9   249.2     6.2
10/25/19 23:05:20 10.55  0.318    230 4348.84   0.15  93.2  10.38   24.6   0.756  8.00   -59.6   249.3     6.2
10/25/19 23:20:20 10.55  0.318    230 4347.47   0.15  93.1  10.37   24.6   0.755  8.00   -59.4   249.3     6.2
10/25/19 23:35:20 10.56  0.318    230 4346.18   0.15  93.3  10.38   24.6   0.754  8.00   -59.6   249.1     6.2
10/25/19 23:50:20 10.54  0.318    230 4342.72   0.15  93.2  10.38   24.6   0.751  8.00   -59.4   249.5     6.2
10/26/19 00:05:20 10.55  0.318    230 4346.82   0.15  93.3  10.39   25.2   0.751  8.00   -59.6   249.5     6.2
10/26/19 00:20:20 10.60  0.317    230 4351.66   0.15  93.7  10.42   25.2   0.754  8.02   -60.3   249.4     6.2
10/26/19 00:35:20 10.56  0.318    230 4345.60   0.15  93.1  10.37   24.6   0.751  8.01   -59.7   249.8     6.3
10/26/19 00:50:20 10.55  0.318    230 4346.46   0.15  92.6  10.31   24.6   0.753  8.00   -59.6   249.9     6.3
10/26/19 01:05:20 10.53  0.318    230 4340.13   0.15  92.1  10.26   24.6   0.753  8.00   -59.3   249.9     6.2
10/26/19 01:20:20 10.53  0.318    230 4342.86   0.15  92.5  10.30   24.6   0.751  8.00   -59.2   249.9     6.2
10/26/19 01:35:20 10.54  0.318    230 4342.00   0.15  92.2  10.27   24.6   0.751  8.00   -59.2   250.1     6.2
10/26/19 01:50:20 10.54  0.318    230 4346.54   0.15  92.5  10.30   24.6   0.752  8.01   -59.8   250.2     6.3
10/26/19 02:05:20 10.55  0.317    230 4353.47   0.15  92.3  10.28   24.6   0.753  8.01   -59.8   250.3     6.2
10/26/19 02:20:20 10.54  0.317    230 4352.82   0.15  92.5  10.30   24.6   0.754  8.01   -59.9   250.4     6.3
10/26/19 02:35:20 10.53  0.318    230 4347.19   0.15  92.0  10.25   24.6   0.753  8.00   -59.6   250.4     6.2
10/26/19 02:50:20 10.52  0.318    230 4350.72   0.15  92.4  10.29   24.6   0.753  8.01   -59.9   250.4     6.2
10/26/19 03:05:20 10.51  0.318    230 4352.67   0.15  92.0  10.26   24.6   0.753  8.01   -59.9   250.5     6.2
10/26/19 03:20:20 10.49  0.318    230 4351.88   0.15  92.1  10.27   24.6   0.752  8.01   -59.9   250.5     6.2
10/26/19 03:35:20 10.48  0.318    230 4351.37   0.15  91.9  10.25   24.6   0.752  8.00   -59.6   250.6     6.2
10/26/19 03:50:20 10.46  0.318    230 4352.96   0.15  91.5  10.21   24.6   0.751  8.00   -59.6   250.7     6.2
10/26/19 04:05:20 10.46  0.318    230 4352.17   0.15  91.6  10.22   24.6   0.752  8.00   -59.6   250.4     6.2
10/26/19 04:20:20 10.45  0.318    230 4353.47   0.15  91.5  10.21   24.6   0.753  8.00   -59.6   250.5     6.2
10/26/19 04:35:20 10.44  0.318    230 4353.10   0.15  91.4  10.20   23.4   0.755  8.00   -59.5   250.5     6.2
10/26/19 04:50:20 10.43  0.318    230 4350.65   0.15  91.1  10.17   24.6   0.757  8.00   -59.3   250.5     6.2
10/26/19 05:05:20 10.43  0.318    230 4355.13   0.15  91.1  10.17   24.6   0.757  8.00   -59.4   250.6     6.2
10/26/19 05:20:20 10.42  0.318    230 4353.18   0.15  90.7  10.13   24.6   0.759  8.00   -59.4   250.7     6.2
10/26/19 05:35:20 10.41  0.319    230 4351.52   0.15  90.6  10.13   24.6   0.760  8.00   -59.3   250.6     6.2
10/26/19 05:50:20 10.40  0.319    230 4353.47   0.15  90.6  10.12   24.6   0.762  8.00   -59.4   250.6     6.2
10/26/19 06:05:20 10.38  0.319    230 4354.48   0.15  90.4  10.11   24.6   0.764  8.00   -59.3   250.6     6.2
10/26/19 06:20:20 10.36  0.319    230 4356.94   0.15  90.2  10.09   24.6   0.765  8.00   -59.3   250.6     6.2
10/26/19 06:35:20 10.37  0.319    230 4356.22   0.15  90.1  10.08   23.4   0.767  8.00   -59.3   250.6     6.2
10/26/19 06:50:20 10.34  0.319    230 4355.78   0.15  90.0  10.06   24.6   0.769  8.00   -59.2   250.6     6.2
10/26/19 07:05:20 10.35  0.320    230 4344.45   0.15  89.8  10.05   24.6   0.770  8.00   -59.2   250.7     6.2
10/26/19 07:20:20 10.32  0.320    230 4343.30   0.15  89.4  10.00   23.4   0.771  7.99   -59.1   250.6     6.2
10/26/19 07:35:20 10.32  0.320    230 4341.86   0.15  89.6  10.03   24.6   0.773  8.00   -59.1   250.6     6.2
10/26/19 07:50:20 10.32  0.321    231 4324.17   0.15  89.8  10.05   24.6   0.774  8.00   -59.1   250.6     6.2
10/26/19 08:05:20 10.31  0.321    231 4329.81   0.15  89.2   9.99   24.6   0.775  7.99   -59.0   250.6     6.2
10/26/19 08:20:20 10.31  0.321    231 4328.45   0.15  89.1   9.98   23.4   0.777  7.99   -58.8   250.6     6.2
10/26/19 08:35:20 10.30  0.322    232 4312.36   0.15  88.7   9.93   24.6   0.778  7.99   -58.7   250.5     6.2
10/26/19 08:50:20 10.29  0.322    231 4325.24   0.15  88.5   9.91   24.6   0.779  7.98   -58.5   250.4     6.2
10/26/19 09:05:20 10.29  0.322    232 4316.83   0.15  88.4   9.90   24.6   0.781  7.99   -58.6   250.4     6.2
10/26/19 09:20:20 10.30  0.323    232 4306.55   0.16  88.7   9.94   23.4   0.778  7.99   -58.7   250.3     6.2
10/26/19 09:35:20 10.31  0.323    232 4302.10   0.16  88.6   9.92   23.4   0.777  7.99   -58.8   250.3     6.2
10/26/19 09:50:20 10.31  0.323    233 4296.74   0.16  88.9   9.95   23.4   0.775  7.99   -58.8   250.2     6.2
10/26/19 10:05:20 10.32  0.323    233 4296.39   0.16  88.6   9.92   24.6   0.775  7.99   -59.0   250.2     6.2
10/26/19 10:20:20 10.32  0.323    233 4296.24   0.16  88.8   9.94   23.4   0.777  7.99   -58.8   250.3     6.2
10/26/19 10:35:20 10.33  0.323    233 4294.41   0.16  88.4   9.90   24.6   0.777  7.99   -58.9   250.2     6.2
10/26/19 10:50:20 10.34  0.323    233 4296.03   0.16  88.6   9.92   23.4   0.775  7.99   -58.9   250.1     6.2
10/26/19 11:05:20 10.34  0.323    233 4296.03   0.16  88.3   9.88   23.4   0.773  7.99   -59.0   250.0     6.2
10/26/19 11:20:20 10.35  0.323    233 4297.30   0.16  88.2   9.87   23.4   0.770  7.99   -59.0   250.1     6.2
10/26/19 11:35:20 10.36  0.323    233 4293.78   0.16  88.2   9.86   23.4   0.770  7.99   -59.0   250.0     6.2
10/26/19 11:50:20 10.36  0.323    233 4290.55   0.16  88.4   9.88   23.4   0.769  7.99   -58.8   250.0     6.2
10/26/19 12:05:20 10.37  0.324    233 4283.05   0.16  88.0   9.84   24.6   0.768  7.99   -58.8   250.1     6.2
10/26/19 12:20:20 10.38  0.324    234 4280.39   0.16  87.8   9.81   23.4   0.768  7.99   -58.9   249.9     6.2
10/26/19 12:35:20 10.41  0.324    234 4281.16   0.16  88.2   9.85   23.4   0.765  7.99   -59.0   249.8     6.2
10/26/19 12:50:20 10.56  0.323    234 4270.98   0.16  88.7   9.87   24.6   0.761  8.00   -59.3   249.8     6.2
10/26/19 13:05:20 10.53  0.324    234 4270.21   0.16  88.5   9.86   23.4   0.759  8.00   -59.4   249.9     6.2
10/26/19 13:20:20 10.50  0.324    234 4273.69   0.16  88.6   9.88   23.4   0.756  8.00   -59.3   249.9     6.2
10/26/19 13:35:20 10.48  0.324    234 4274.60   0.16  88.5   9.87   24.6   0.755  8.00   -59.1   250.0     6.2
10/26/19 13:50:20 10.44  0.324    234 4278.29   0.16  88.1   9.83   23.4   0.754  7.99   -59.1   250.0     6.2
10/26/19 14:05:20 10.39  0.324    234 4281.79   0.16  87.9   9.82   23.4   0.752  7.99   -58.9   250.0     6.2
10/26/19 14:20:20 10.42  0.323    233 4285.92   0.16  87.8   9.81   23.4   0.750  7.99   -58.9   250.1     6.2
10/26/19 14:35:20 10.48  0.324    234 4276.76   0.16  88.0   9.81   24.6   0.747  8.00   -59.2   249.9     6.2
10/26/19 14:50:20 10.49  0.323    234 4277.74   0.16  88.1   9.82   23.4   0.748  8.00   -59.2   249.9     6.2
10/26/19 15:05:20 10.47  0.323    234 4279.83   0.16  87.8   9.80   23.4   0.744  7.99   -59.1   250.1     6.2
10/26/19 15:20:20 10.37  0.325    234 4276.13   0.16  87.1   9.74   23.4   0.742  7.99   -58.7   250.0     6.2
10/26/19 15:35:20 10.37  0.325    234 4268.06   0.16  86.6   9.68   23.4   0.739  7.99   -58.8   249.9     6.2
10/26/19 15:50:20 10.41  0.325    235 4260.15   0.16  86.8   9.69   23.4   0.739  7.98   -58.5   250.0     6.2
10/26/19 16:05:20 10.41  0.327    236 4242.15   0.16  85.5   9.55   23.4   0.737  7.97   -57.8   249.9     6.2
10/26/19 16:20:20 10.68  0.326    237 4224.93   0.16  87.8   9.74   23.4   0.736  8.00   -59.3   249.9     6.2
10/26/19 16:35:20 10.63  0.326    236 4229.63   0.16  87.7   9.74   23.4   0.735  8.00   -59.6   250.3     6.2
10/26/19 16:50:20 10.62  0.325    236 4239.96   0.16  88.1   9.79   23.4   0.735  8.01   -60.1   250.4     6.2
10/26/19 17:05:20 10.59  0.325    235 4250.00   0.16  88.2   9.81   23.4   0.734  8.02   -60.5   250.6     6.2
10/26/19 17:20:20 10.72  0.326    237 4212.37   0.16  89.4   9.92   23.4   0.733  8.04   -61.8   250.4     6.2
10/26/19 17:35:20 10.67  0.325    236 4231.20   0.16  88.3   9.80   24.6   0.731  8.01   -60.1   250.7     6.2
10/26/19 17:50:20 10.86  0.328    240 4171.68   0.16  90.3   9.97   23.4   0.731  8.06   -62.5   250.5     6.2
10/26/19 18:05:20 10.91  0.329    240 4162.40   0.16  90.2   9.96   22.3   0.732  8.05   -62.4   250.6     6.2
10/26/19 18:20:20 10.86  0.330    241 4145.75   0.16  90.2   9.97   23.4   0.732  8.06   -62.7   250.5     6.2
10/26/19 18:35:20 10.82  0.330    241 4154.88   0.16  89.2   9.87   23.4   0.732  8.06   -62.5   250.5     6.2
10/26/19 18:50:20 10.78  0.329    240 4169.22   0.16  87.9   9.73   23.4   0.730  8.04   -61.5   250.7     6.2
