======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/07/19 05:35:31 15.43  0.469    384   0.23  15.893   3.364  7.95   -72.0   135.3   9.4   2.2    13.1
10/07/19 06:05:31 15.42  0.470    384   0.23  15.892   3.362  7.95   -71.9   135.3   9.4   2.2    13.2
10/07/19 06:35:31 15.41  0.470    384   0.23  15.903   3.387  7.94   -71.7   136.0   7.4   1.7    13.1
10/07/19 07:05:31 15.40  0.471    385   0.23  15.903   3.386  7.94   -71.5   136.0   9.0   2.1    13.1
10/07/19 07:35:31 15.36  0.470    383   0.23  15.902   3.385  7.94   -71.5   135.0   6.4   1.5    13.2
10/07/19 08:05:31 15.34  0.469    383   0.23  15.912   3.407  7.94   -71.6   135.5   5.9   1.4    13.2
10/07/19 08:35:31 15.35  0.469    383   0.23  15.910   3.404  7.94   -71.8   135.3   7.2   1.7    13.1
10/07/19 09:05:31 15.34  0.470    383   0.23  15.909   3.401  7.94   -71.8   134.8   6.2   1.5    13.1
10/07/19 09:35:31 15.35  0.469    383   0.23  15.912   3.407  7.95   -72.0   135.3   8.1   1.9    13.1
10/07/19 10:05:31 15.34  0.468    382   0.23  15.914   3.412  7.95   -72.2   135.4   5.7   1.4    13.1
10/07/19 10:35:31 15.34  0.469    382   0.23  15.917   3.419  7.95   -72.2   134.8   9.1   2.2    13.2
10/07/19 11:05:31 15.34  0.469    382   0.23  15.915   3.414  7.97   -72.9   133.7   6.1   1.5    13.1
10/07/19 11:35:31 15.35  0.468    382   0.23  15.912   3.408  7.96   -72.7   135.0  15.0   3.6    13.1
10/07/19 12:05:31 15.37  0.468    382   0.23  15.911   3.405  7.97   -73.4   133.9  10.1   2.4    13.1
10/07/19 12:35:31 15.36  0.469    383   0.23  15.913   3.409  7.97   -73.0   135.0   8.5   2.0    13.1
10/07/19 13:05:31 15.38  0.468    382   0.23  15.908   3.399  7.98   -73.8   132.7  11.8   2.8    13.1
10/07/19 13:35:31 15.38  0.469    382   0.23  15.909   3.402  8.00   -74.6   127.1   6.0   1.4    13.1
10/07/19 14:05:31 15.38  0.469    382   0.23  15.909   3.401  7.98   -73.8   133.1   5.8   1.4    13.1
10/07/19 14:35:31 15.39  0.468    382   0.23  15.906   3.393  7.99   -74.0   134.5   7.9   1.9    13.1
10/07/19 15:05:31 15.38  0.468    382   0.23  15.911   3.405  7.99   -74.2   132.2   6.2   1.5    13.1
10/07/19 15:35:31 15.39  0.467    382   0.23  15.910   3.403  8.01   -75.0   132.4   7.3   1.7    13.1
10/07/19 16:05:31 15.42  0.466    381   0.23  15.907   3.396  8.08   -78.7   131.7   9.5   2.2    13.1
10/07/19 16:35:31 15.41  0.466    381   0.23  15.906   3.393  8.07   -78.2   132.0  11.7   2.8    13.1
10/07/19 17:05:31 15.39  0.467    381   0.23  15.908   3.398  8.05   -77.0   132.0   8.6   2.0    13.2
10/07/19 17:35:31 15.39  0.466    381   0.23  15.909   3.402  8.07   -78.2   131.5  13.4   3.2    13.1
10/07/19 18:05:31 15.35  0.467    381   0.23  15.913   3.409  8.06   -77.5   125.6   8.8   2.1    13.1
10/07/19 18:35:31 15.34  0.467    381   0.23  15.913   3.409  8.05   -77.0   131.7   7.8   1.8    13.1
10/07/19 19:05:31 15.32  0.468    381   0.23  15.921   3.428  8.02   -75.7   132.6   9.6   2.3    13.1
10/07/19 19:35:31 15.29  0.468    381   0.23  15.923   3.433  8.01   -75.4   133.4   9.2   2.2    13.1
10/07/19 20:05:31 15.26  0.468    381   0.23  15.929   3.446  8.00   -74.6   133.4  10.1   2.4    13.1
10/07/19 20:35:31 15.23  0.468    381   0.23  15.935   3.460  8.01   -75.0   132.8   9.2   2.2    13.1
10/07/19 21:05:31 15.22  0.468    380   0.23  15.938   3.468  8.01   -75.4   133.5  12.1   2.9    13.1
10/07/19 21:35:31 15.18  0.467    380   0.23  15.943   3.478  8.04   -76.8   125.3   9.2   2.2    13.1
10/07/19 22:05:31 15.16  0.467    380   0.23  15.944   3.481  8.04   -76.5   126.1  11.2   2.6    13.2
10/07/19 22:35:32 15.10  0.467    379   0.23  15.947   3.488  8.01   -75.3   132.8   8.2   1.9    13.1
10/07/19 23:05:31 15.08  0.468    379   0.23  15.951   3.498  8.01   -75.0   134.2  11.4   2.7    13.1
10/07/19 23:35:31 15.05  0.468    379   0.23  15.951   3.497  8.02   -75.7   132.5   9.6   2.3    13.1
10/08/19 00:05:31 15.01  0.469    379   0.23  15.955   3.507  7.96   -72.6   134.6   5.4   1.3    13.1
10/08/19 00:35:31 14.95  0.469    379   0.23  15.957   3.511  7.96   -72.3   133.5   3.1   0.7    13.1
10/08/19 01:05:31 14.93  0.468    378   0.23  15.958   3.513  7.96   -72.6   134.2   2.4   0.6    13.1
10/08/19 01:35:31 14.90  0.468    377   0.23  15.961   3.520  8.00   -74.5   133.9   6.1   1.4    13.1
10/08/19 02:05:31 14.86  0.469    378   0.23  15.965   3.530  7.98   -73.5   134.8   6.6   1.6    13.1
10/08/19 02:35:31 14.82  0.468    377   0.23  15.963   3.525  7.98   -73.4   134.1   5.9   1.4    13.1
10/08/19 03:05:31 14.78  0.468    377   0.23  15.961   3.522  7.98   -73.7   134.2   6.4   1.5    13.2
10/08/19 03:35:31 14.75  0.468    377   0.23  15.962   3.524  7.97   -73.1   132.9   9.7   2.3    13.1
10/08/19 04:05:31 14.70  0.469    377   0.23  15.966   3.531  7.96   -72.7   135.7   4.2   1.0    13.1
10/08/19 04:35:31 14.67  0.469    376   0.23  15.971   3.543  7.96   -72.8   134.2   4.8   1.1    13.1
10/08/19 05:05:31 14.66  0.470    377   0.23  15.976   3.555  7.95   -71.8   135.4   4.9   1.2    13.1
10/08/19 05:35:31 14.63  0.469    376   0.23  15.982   3.568  7.95   -72.0   136.0   4.8   1.1    13.1
10/08/19 06:05:31 14.59  0.470    377   0.23  15.990   3.587  7.94   -71.4   134.3   5.4   1.3    13.1
10/08/19 06:35:31 14.55  0.469    376   0.23  15.994   3.597  7.94   -71.4   135.1   3.8   0.9    13.1
10/08/19 07:05:31 14.51  0.469    375   0.23  15.997   3.603  7.95   -71.9   134.2   4.0   0.9    13.1
10/08/19 07:35:31 14.47  0.469    375   0.23  16.002   3.617  7.94   -71.4   135.6   4.8   1.1    13.1
10/08/19 08:05:31 14.46  0.469    374   0.23  16.007   3.627  7.95   -71.9   134.8   3.4   0.8    13.1
10/08/19 08:35:31 14.45  0.469    374   0.23  16.007   3.628  7.96   -72.4   135.4   3.9   0.9    13.1
10/08/19 09:05:31 14.44  0.467    373   0.23  16.005   3.623  7.97   -73.2   135.6   5.5   1.3    13.1
10/08/19 09:35:31 14.45  0.468    374   0.23  16.008   3.630  7.97   -72.9   135.4  10.8   2.6    13.1
10/08/19 10:05:31 14.47  0.468    374   0.23  16.007   3.627  7.97   -73.2   133.3   3.1   0.7    13.1
10/08/19 10:35:31 14.47  0.468    374   0.23  16.008   3.629  7.97   -73.2   136.0   5.4   1.3    13.1
10/08/19 11:05:31 14.43  0.468    373   0.23  16.006   3.625  7.98   -73.5   135.3   5.4   1.3    13.1
10/08/19 11:35:31 14.49  0.467    373   0.23  16.005   3.622  8.03   -76.2   126.5  11.8   2.8    13.1
10/08/19 12:05:31 14.49  0.465    372   0.23  16.002   3.616  7.99   -74.0   130.2   7.7   1.8    13.1
10/08/19 12:35:31 14.48  0.467    373   0.23  15.997   3.603  7.97   -73.2   134.8   6.9   1.6    13.1
10/08/19 13:05:31 14.37  0.464    370   0.23  15.991   3.589  7.97   -72.9   135.6   4.9   1.2    13.2
10/08/19 13:35:31 14.53  0.465    372   0.23  15.989   3.586  7.99   -73.9   135.4   3.8   0.9    13.1
10/08/19 14:05:31 14.60  0.466    373   0.23  15.983   3.571  8.00   -74.6   127.8   8.6   2.0    13.1
10/08/19 14:35:31 14.51  0.466    373   0.23  15.982   3.570  8.00   -74.4   135.9   8.7   2.1    13.1
10/08/19 15:05:31 14.52  0.466    373   0.23  15.979   3.563  7.99   -74.0   136.0   5.2   1.2    13.1
10/08/19 15:35:31 14.53  0.469    375   0.23  15.975   3.552  7.95   -72.2   136.8   6.5   1.5    13.1
10/08/19 16:05:31 14.66  0.468    376   0.23  15.973   3.549  7.99   -74.1   136.4   5.7   1.3    13.1
10/08/19 16:35:31 14.64  0.468    375   0.23  15.971   3.544  8.00   -74.5   137.6   4.1   1.0    13.1
10/08/19 17:05:31 14.67  0.466    374   0.23  15.972   3.546  8.02   -75.7   134.2   7.0   1.6    13.1
10/08/19 17:35:31 14.51  0.463    370   0.22  15.976   3.556  8.01   -75.1   135.1   2.8   0.7    13.1
10/08/19 18:05:31 14.54  0.465    372   0.23  15.978   3.560  8.01   -75.0   136.7   4.9   1.2    13.1
10/08/19 18:35:31 14.55  0.455    364   0.22  15.982   3.568  8.02   -75.4   136.7   5.8   1.4    13.1
10/08/19 19:05:32 14.58  0.460    369   0.22  15.984   3.573  8.02   -75.5   137.3   6.9   1.6    13.1
10/08/19 19:35:31 14.63  0.468    375   0.23  15.987   3.580  8.01   -75.0   136.4   4.6   1.1    13.1
10/08/19 20:05:31 14.60  0.466    373   0.23  15.990   3.588  7.99   -74.2   137.3   4.7   1.1    13.1
10/08/19 20:35:31 14.62  0.467    374   0.23  15.993   3.596  7.99   -74.2   138.0   4.1   1.0    13.2
10/08/19 21:05:31 14.79  0.457    368   0.22  15.999   3.608  8.04   -76.6   134.6  12.3   2.9    13.2
10/08/19 21:35:31 14.64  0.461    370   0.22  15.998   3.605  8.01   -75.1   137.5   5.9   1.4    13.1
10/08/19 22:05:31 14.57  0.465    372   0.23  16.000   3.611  8.01   -75.3   135.5   5.5   1.3    13.1
10/08/19 22:35:31 14.41  0.466    372   0.23  16.001   3.615  8.03   -75.9   130.1   5.6   1.3    13.1
10/08/19 23:05:31 14.54  0.465    372   0.23  16.000   3.612  7.99   -73.9   138.2   9.1   2.2    13.1
10/08/19 23:35:31 14.75  0.461    371   0.22  16.000   3.612  8.08   -78.4   134.7   7.1   1.7    13.1
10/09/19 00:05:31 14.70  0.461    371   0.22  16.002   3.615  8.07   -78.0   135.7   7.0   1.7    13.1
10/09/19 00:35:31 14.58  0.463    371   0.22  16.000   3.612  8.05   -77.1   137.6   6.8   1.6    13.1
10/09/19 01:05:31 14.48  0.461    368   0.22  15.999   3.607  8.04   -76.7   136.0   8.6   2.0    13.1
10/09/19 01:35:31 14.35  0.455    362   0.22  16.000   3.611  8.04   -76.3   136.4   6.9   1.6    13.1
10/09/19 02:05:31 14.30  0.456    362   0.22  16.001   3.613  8.04   -76.4   136.8   5.0   1.2    13.1
10/09/19 02:35:31 14.24  0.456    362   0.22  16.001   3.614  8.03   -75.9   137.6   8.3   2.0    13.1
10/09/19 03:05:31 14.19  0.457    363   0.22  16.002   3.615  8.04   -76.6   136.8   4.2   1.0    13.1
10/09/19 03:35:31 14.16  0.458    363   0.22  16.000   3.609  8.03   -76.0   137.2   6.5   1.5    13.1
10/09/19 04:05:31 14.11  0.458    363   0.22  16.001   3.613  8.04   -76.4   132.7   5.2   1.2    13.1
10/09/19 04:35:31 14.07  0.457    361   0.22  16.004   3.620  8.01   -75.1   137.5   6.3   1.5    13.1
10/09/19 05:05:31 14.00  0.454    359   0.22  16.007   3.627  8.01   -75.1   139.5   6.4   1.5    13.1
10/09/19 05:35:31 13.94  0.453    358   0.22  16.009   3.632  8.02   -75.4   136.7   5.2   1.2    13.0
10/09/19 06:05:31 13.92  0.451    356   0.22  16.008   3.630  8.03   -75.9   137.3   4.4   1.0    13.1
10/09/19 06:35:31 13.90  0.450    355   0.22  16.009   3.631  8.03   -75.7   137.4   5.9   1.4    13.1
10/09/19 07:05:31 13.87  0.452    356   0.22  16.011   3.637  8.01   -75.0   139.0   3.2   0.8    13.1
10/09/19 07:35:31 13.83  0.452    356   0.22  16.013   3.640  8.00   -74.5   139.0   3.9   0.9    13.1
10/09/19 08:05:32 13.79  0.450    354   0.22  16.017   3.650  8.00   -74.6   139.6   4.0   0.9    13.1
10/09/19 08:35:31 13.78  0.451    354   0.22  16.021   3.660  8.00   -74.6   136.9   4.0   0.9    13.1
10/09/19 09:05:31 13.79  0.452    355   0.22  16.021   3.660  7.99   -74.0   138.1   5.1   1.2    13.1
10/09/19 09:35:31 13.79  0.452    355   0.22  16.023   3.664  8.00   -74.2   150.6   4.5   1.1    13.1
10/09/19 10:05:31 13.82  0.453    357   0.22  16.022   3.661  8.00   -74.3   146.4   6.1   1.4    13.1
10/09/19 10:35:31 13.84  0.454    357   0.22  16.021   3.659  8.02   -75.5   133.4   7.3   1.7    13.1
10/09/19 11:05:31 13.87  0.454    357   0.22  16.019   3.654  8.02   -75.2   138.5   9.6   2.3    13.1
10/09/19 11:35:31 13.88  0.453    356   0.22  16.013   3.641  8.02   -75.6   149.8   4.9   1.2    13.1
10/09/19 12:05:31 13.88  0.452    356   0.22  16.009   3.631  8.03   -76.0   138.4  12.1   2.9    13.1
10/09/19 12:35:31 13.88  0.452    356   0.22  16.002   3.617  8.03   -75.9   138.9   8.9   2.1    13.1
10/09/19 13:05:31 13.91  0.452    356   0.22  15.998   3.607  8.06   -77.3   130.3   9.7   2.3    13.1
10/09/19 13:35:31 13.92  0.453    357   0.22  15.993   3.594  8.05   -77.0   132.7   8.3   2.0    13.1
10/09/19 14:05:31 13.96  0.453    357   0.22  15.989   3.585  8.08   -78.4   134.9   6.9   1.6    13.1
10/09/19 14:35:31 13.93  0.454    358   0.22  15.987   3.581  8.05   -76.7   151.7   2.9   0.7    13.0
10/09/19 15:05:31 13.93  0.453    357   0.22  15.985   3.575  8.05   -76.7   152.2   6.1   1.4    13.1
10/09/19 15:35:31 13.92  0.453    357   0.22  15.983   3.572  8.04   -76.5   152.1   4.8   1.1    13.1
10/09/19 16:05:31 13.95  0.453    358   0.22  15.984   3.573  8.04   -76.7   149.9   4.2   1.0    13.1
10/09/19 16:35:31 14.02  0.453    358   0.22  15.980   3.564  8.06   -77.7   143.5   5.7   1.4    13.1
10/09/19 17:05:31 14.09  0.452    357   0.22  15.979   3.562  8.06   -77.6   149.9   3.6   0.8    13.1
10/09/19 17:35:31 14.02  0.453    358   0.22  15.981   3.567  8.05   -76.8   151.8   4.3   1.0    13.1
10/09/19 18:05:31 14.10  0.452    358   0.22  15.983   3.572  8.06   -77.3   150.8   4.9   1.2    13.1
10/09/19 18:35:31 14.08  0.452    358   0.22  15.986   3.579  8.05   -77.2   151.4   3.0   0.7    13.1
10/09/19 19:05:31 13.96  0.454    358   0.22  15.989   3.585  8.05   -77.1   150.3   3.0   0.7    13.1
10/09/19 19:35:31 13.98  0.454    359   0.22  15.994   3.597  8.08   -78.2   149.7   4.5   1.1    13.1
10/09/19 20:05:31 14.10  0.453    359   0.22  15.995   3.598  8.08   -78.3   141.4   5.4   1.3    13.1
10/09/19 20:35:31 14.22  0.454    360   0.22  15.998   3.606  8.07   -77.8   148.0   8.5   2.0    13.1
10/09/19 21:05:31 14.27  0.452    360   0.22  15.998   3.605  8.07   -77.9   151.6   6.6   1.6    13.1
10/09/19 21:35:31 14.30  0.453    361   0.22  15.999   3.608  8.09   -79.2   151.3   8.5   2.0    13.1
10/09/19 22:05:31 14.24  0.453    360   0.22  16.000   3.612  8.08   -78.5   150.5   7.3   1.7    13.1
10/09/19 22:35:31 14.28  0.453    360   0.22  16.002   3.617  8.10   -79.4   148.1   6.5   1.5    13.2
10/09/19 23:05:31 14.20  0.452    359   0.22  16.004   3.621  8.07   -78.1   151.4   5.5   1.3    13.1
10/09/19 23:35:32 14.14  0.452    358   0.22  16.004   3.621  8.08   -78.5   152.4   6.6   1.6    13.1
10/10/19 00:05:32 14.04  0.452    358   0.22  16.002   3.615  8.07   -78.1   150.1   5.9   1.4    13.1
10/10/19 00:35:31 14.01  0.452    357   0.22  16.004   3.619  8.07   -78.1   151.1   3.7   0.9    13.1
10/10/19 01:05:32 13.92  0.453    357   0.22  16.003   3.618  8.04   -76.4   151.4   4.7   1.1    13.1
10/10/19 01:35:32 13.97  0.453    357   0.22  16.001   3.613  8.08   -78.6   150.7   8.8   2.1    13.1
10/10/19 02:05:31 13.95  0.452    357   0.22  16.000   3.609  8.06   -77.6   151.5   7.4   1.8    13.1
10/10/19 02:35:32 13.92  0.452    356   0.22  15.997   3.604  8.06   -77.6   153.2  10.1   2.4    13.1
10/10/19 03:05:32 13.86  0.451    355   0.22  15.996   3.602  8.05   -76.8   152.0   6.5   1.5    13.1
10/10/19 03:35:31 13.81  0.451    354   0.22  15.996   3.601  8.03   -76.0   153.1   4.2   1.0    13.1
10/10/19 04:05:31 13.76  0.450    353   0.22  15.999   3.607  8.02   -75.5   152.0   5.0   1.2    13.1
10/10/19 04:35:31 13.70  0.449    352   0.22  15.998   3.606  8.03   -75.7   152.3   3.1   0.7    13.1
10/10/19 05:05:31 13.70  0.448    352   0.22  15.998   3.606  8.01   -74.7   155.8   6.5   1.5    13.1
10/10/19 05:35:31 13.63  0.449    352   0.22  16.001   3.614  8.01   -74.8   153.4   3.7   0.9    13.1
10/10/19 06:05:31 13.62  0.448    350   0.22  16.007   3.626  8.01   -74.7   144.1   5.5   1.3    13.1
10/10/19 06:35:31 13.57  0.448    350   0.22  16.006   3.623  7.99   -73.7   151.3   4.5   1.1    13.1
10/10/19 07:05:31 13.55  0.447    350   0.22  16.011   3.636  7.98   -73.2   152.8   3.7   0.9    13.1
10/10/19 07:35:31 13.52  0.447    349   0.22  16.013   3.640  7.98   -73.2   154.7   3.4   0.8    13.1
10/10/19 08:05:31 13.49  0.446    348   0.22  16.015   3.645  7.96   -72.2   156.1   2.9   0.7    13.1
10/10/19 08:35:31 13.49  0.446    348   0.22  16.017   3.649  7.96   -72.3   153.4   3.8   0.9    13.1
10/10/19 09:05:32 13.49  0.446    348   0.22  16.017   3.650  7.97   -72.8   144.7   2.8   0.7    13.1
10/10/19 09:35:32 13.49  0.447    348   0.22  16.015   3.644  7.98   -73.4   144.2   4.6   1.1    13.1
10/10/19 10:05:32 13.48  0.447    349   0.22  16.014   3.643  7.99   -74.0   144.1   3.9   0.9    13.1
10/10/19 10:35:32 13.55  0.447    349   0.22  16.008   3.630  7.99   -73.7   153.3   5.8   1.4    13.1
10/10/19 11:05:31 12.85  0.016     12   0.01  14.509   0.164  7.69   -58.3   162.8   0.4   0.1    13.1
10/10/19 11:35:31 13.52  0.448    349   0.22  16.014   3.643  8.02   -75.1   158.2   6.5   1.5    13.1
10/10/19 12:05:32 13.58  0.448    350   0.22  16.020   3.655  8.03   -75.9   153.4   6.3   1.5    13.1
10/10/19 12:35:32 13.54  0.448    350   0.22  15.981   3.567  8.01   -75.0   150.0   4.2   1.0    13.1
10/10/19 13:05:32 13.55  0.447    349   0.22  15.976   3.555  8.03   -75.7   142.9   7.6   1.8    13.1
10/10/19 13:35:31 13.59  0.447    350   0.22  15.971   3.544  8.02   -75.1   145.0   7.1   1.7    13.1
10/10/19 14:05:31 13.65  0.448    351   0.22  15.968   3.537  8.04   -76.5   143.2   5.5   1.3    13.1
10/10/19 14:35:32 13.71  0.448    351   0.22  15.966   3.531  8.04   -76.5   142.9   7.7   1.8    13.1
10/10/19 15:05:32 13.74  0.448    351   0.22  15.964   3.527  8.04   -76.4   152.4   8.9   2.1    13.1
10/10/19 15:35:32 13.62  0.448    351   0.22  15.959   3.516  8.02   -75.2   151.4   4.9   1.2    13.1
10/10/19 16:05:32 13.76  0.448    352   0.22  15.958   3.513  8.06   -77.2   151.8   9.2   2.2    13.1
10/10/19 16:35:32 13.75  0.447    351   0.22  15.958   3.513  8.06   -77.6   150.8   7.0   1.6    13.1
10/10/19 17:05:32 13.89  0.447    353   0.22  15.958   3.513  8.07   -78.1   151.9   7.9   1.9    13.1
10/10/19 17:35:31 13.84  0.448    352   0.22  15.960   3.519  8.07   -77.9   150.9   6.9   1.6    13.1
10/10/19 18:05:31 13.71  0.448    351   0.22  15.961   3.521  8.05   -77.0   150.6   4.2   1.0    13.1
10/10/19 18:35:32 13.75  0.447    351   0.22  15.960   3.519  8.07   -78.0   142.1   5.3   1.3    13.1
10/10/19 19:05:31 13.70  0.447    351   0.22  15.965   3.529  8.03   -76.0   150.8   7.7   1.8    13.1
10/10/19 19:35:31 13.68  0.448    351   0.22  15.966   3.532  8.04   -76.4   151.1   4.0   1.0    13.1
10/10/19 20:05:32 13.84  0.447    352   0.22  15.967   3.534  8.08   -78.3   152.3   9.1   2.2    13.1
10/10/19 20:35:31 13.74  0.448    351   0.22  15.962   3.523  8.05   -76.7   150.3   5.0   1.2    13.1
10/10/19 21:05:31 13.86  0.447    352   0.22  15.962   3.523  8.03   -75.7   150.3   5.7   1.3    13.1
10/10/19 21:35:31 13.83  0.447    352   0.22  15.967   3.535  8.00   -74.5   144.6   3.7   0.9    13.1
10/10/19 22:05:32 13.79  0.447    351   0.22  15.970   3.541  7.97   -72.8   153.4   4.6   1.1    13.1
10/10/19 22:35:32 13.77  0.447    351   0.22  15.974   3.550  7.97   -73.1   142.8   3.8   0.9    13.1
10/10/19 23:05:32 13.73  0.447    351   0.22  15.973   3.549  7.97   -72.9   144.8   3.2   0.7    13.1
10/10/19 23:35:31 14.16  0.446    354   0.22  15.971   3.543  8.03   -76.1   153.6   7.1   1.7    13.1
10/11/19 00:05:31 14.15  0.447    354   0.22  15.970   3.540  8.08   -78.7   151.0   4.2   1.0    13.1
10/11/19 00:35:31 14.14  0.447    354   0.22  15.966   3.531  8.09   -78.9   151.9   5.0   1.2    13.1
10/11/19 01:05:32 13.89  0.448    353   0.22  15.966   3.532  8.04   -76.7   151.1   6.5   1.6    13.1
10/11/19 01:35:32 13.97  0.447    353   0.22  15.964   3.526  8.08   -78.6   143.1   5.3   1.3    13.1
10/11/19 02:05:32 13.94  0.447    353   0.22  15.965   3.529  8.08   -78.6   143.1   4.6   1.1    13.1
10/11/19 02:35:32 13.85  0.448    352   0.22  15.966   3.532  8.06   -77.4   144.0   4.4   1.0    13.1
10/11/19 03:05:32 13.76  0.447    351   0.22  15.967   3.534  8.03   -76.1   151.2   4.4   1.0    13.1
10/11/19 03:35:32 13.66  0.447    350   0.22  15.968   3.537  8.02   -75.4   152.3   3.8   0.9    13.1
10/11/19 04:05:32 13.55  0.447    349   0.22  15.971   3.543  7.99   -74.0   153.7   6.3   1.5    13.1
10/11/19 04:35:32 13.50  0.447    349   0.22  15.971   3.544  7.98   -73.1   154.1   3.9   0.9    13.1
10/11/19 05:05:32 13.44  0.447    349   0.22  15.970   3.540  7.98   -73.5   144.7   3.0   0.7    13.1
10/11/19 05:35:32 13.42  0.447    348   0.22  15.971   3.544  7.96   -72.2   153.7   4.1   1.0    13.1
10/11/19 06:05:31 13.41  0.447    348   0.22  15.972   3.545  7.95   -71.9   154.2   3.7   0.9    13.0
10/11/19 06:35:31 13.37  0.447    348   0.22  15.971   3.543  7.95   -71.8   154.4   4.0   0.9    13.1
10/11/19 07:05:31 13.34  0.447    348   0.22  15.972   3.545  7.94   -71.3   156.6   3.2   0.8    13.1
10/11/19 07:35:31 13.28  0.447    347   0.22  15.972   3.546  7.94   -71.4   155.4   3.4   0.8    13.1
10/11/19 08:05:31 13.29  0.447    347   0.22  15.974   3.550  7.95   -71.5   156.6   4.3   1.0    13.1
10/11/19 08:35:32 13.26  0.447    347   0.22  15.974   3.550  7.96   -72.3   154.8   3.5   0.8    13.1
10/11/19 09:05:31 13.28  0.447    347   0.22  15.972   3.545  7.97   -72.6   154.1   4.9   1.2    13.0
10/11/19 09:35:31 13.31  0.447    347   0.22  15.967   3.534  7.99   -73.6   145.4   7.8   1.8    13.1
10/11/19 10:05:31 13.37  0.447    348   0.22  15.964   3.526  7.98   -73.3   154.3   7.5   1.8    13.1
10/11/19 10:35:32 13.44  0.447    348   0.22  15.959   3.515  7.99   -73.6   151.4   7.4   1.8    13.1
10/11/19 11:05:32 13.41  0.447    348   0.22  15.952   3.500  7.96   -72.6   154.5   5.2   1.2    13.1
10/11/19 11:35:32 13.40  0.447    348   0.22  15.946   3.484  7.99   -73.7   144.1   9.3   2.2    13.1
10/11/19 12:05:31 13.37  0.447    348   0.22  15.942   3.476  7.98   -73.2   151.4   8.3   2.0    13.1
10/11/19 12:35:31 13.35  0.448    348   0.22  15.930   3.448  7.98   -73.4   151.4   5.4   1.3    13.1
10/11/19 13:05:31 13.33  0.447    348   0.22  15.922   3.430  8.00   -74.1   144.3   4.1   1.0    13.1
10/11/19 13:35:32 13.50  0.447    349   0.22  15.914   3.411  7.99   -73.7   153.1   7.8   1.9    13.1
10/11/19 14:05:31 13.47  0.447    349   0.22  15.908   3.397  7.98   -73.5   153.8   6.5   1.5    13.1
10/11/19 14:35:31 13.52  0.447    349   0.22  15.901   3.380  8.02   -75.1   143.8   5.5   1.3    13.1
10/11/19 15:05:32 13.59  0.447    349   0.22  15.896   3.371  8.02   -75.6   144.3   9.1   2.2    13.1
10/11/19 15:35:32 13.52  0.447    349   0.22  15.893   3.363  8.02   -75.3   143.6   7.5   1.8    13.1
10/11/19 16:05:32 13.46  0.447    348   0.22  15.890   3.357  8.03   -75.8   143.9   4.7   1.1    13.1
10/11/19 16:35:32 13.50  0.447    349   0.22  15.887   3.349  8.04   -76.5   143.4   6.4   1.5    13.1
10/11/19 17:05:32 13.48  0.447    349   0.22  15.888   3.351  8.03   -76.0   144.0   3.1   0.7    13.2
10/11/19 17:35:32 13.62  0.447    350   0.22  15.889   3.354  8.08   -78.5   150.8   5.8   1.4    13.1
10/11/19 18:05:32 13.50  0.447    349   0.22  15.890   3.355  8.02   -75.3   160.8   7.4   1.8    13.1
10/11/19 18:35:32 13.46  0.447    349   0.22  15.893   3.362  8.02   -75.3   153.8   4.6   1.1    13.1
10/11/19 19:05:32 13.56  0.447    349   0.22  15.890   3.356  8.05   -76.8   142.7   7.5   1.8    13.1
10/11/19 19:35:32 13.89  0.447    352   0.22  15.889   3.353  8.10   -79.4   150.5  10.6   2.5    13.0
10/11/19 20:05:32 13.49  0.447    349   0.22  15.888   3.351  8.01   -74.6   152.8   4.6   1.1    13.1
10/11/19 20:35:32 13.59  0.447    349   0.22  15.889   3.353  8.03   -75.9   152.2   5.3   1.3    13.1
10/11/19 21:05:32 13.54  0.447    349   0.22  15.891   3.359  8.01   -74.8   152.6   6.6   1.6    13.1
10/11/19 21:35:32 13.80  0.447    352   0.22  15.889   3.355  8.03   -75.8   152.6   8.3   2.0    13.0
10/11/19 22:05:32 13.52  0.447    349   0.22  15.886   3.346  7.99   -73.7   152.6   4.9   1.2    13.1
10/11/19 22:35:32 13.43  0.447    348   0.22  15.880   3.333  7.99   -73.5   149.4   4.9   1.2    13.1
10/11/19 23:05:31 13.50  0.447    349   0.22  15.872   3.315  7.99   -73.9   153.0   4.2   1.0    13.1
10/11/19 23:35:31 13.54  0.447    349   0.22  15.870   3.309  8.02   -75.4   145.0   6.6   1.6    13.1
10/12/19 00:05:31 13.89  0.447    352   0.22  15.869   3.308  8.07   -78.1   148.4   4.4   1.0    13.1
10/12/19 00:35:31 13.64  0.448    351   0.22  15.868   3.306  8.05   -77.0   142.2   8.2   1.9    13.1
10/12/19 01:05:31 13.55  0.447    350   0.22  15.864   3.296  7.98   -73.5   152.6   9.5   2.2    13.1
10/12/19 01:35:31 13.59  0.447    350   0.22  15.851   3.266  7.99   -73.9   152.7   9.2   2.2    13.1
10/12/19 02:05:32 13.70  0.446    350   0.22  15.851   3.265  8.01   -75.0   143.2   8.6   2.0    13.1
10/12/19 02:35:32 13.68  0.447    350   0.22  15.848   3.259  8.04   -76.4   151.4   5.9   1.4    13.1
