======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/03/19 15:35:31 17.99  0.471    408   0.23  15.818   3.192  7.95   -72.6   137.4   6.2   1.5    13.4
10/03/19 16:05:31 17.97  0.471    408   0.23  15.819   3.194  7.96   -72.8   132.9   7.2   1.7    13.3
10/03/19 16:35:31 17.96  0.471    408   0.23  15.817   3.189  7.93   -71.6   138.2   6.7   1.6    13.4
10/03/19 17:05:31 17.93  0.471    408   0.23  15.812   3.178  7.94   -72.0   133.6   7.8   1.9    13.3
10/03/19 17:35:31 17.92  0.471    408   0.23  15.804   3.160  7.91   -70.6   138.1   9.0   2.1    13.3
10/03/19 18:05:31 17.90  0.471    407   0.23  15.804   3.159  7.92   -70.8   137.9   7.3   1.7    13.3
10/03/19 18:35:31 17.89  0.471    407   0.23  15.805   3.161  7.93   -71.6   138.6   6.7   1.6    13.4
10/03/19 19:05:31 17.88  0.471    407   0.23  15.807   3.167  7.93   -71.7   136.5   7.1   1.7    13.3
10/03/19 19:35:31 17.86  0.471    407   0.23  15.808   3.168  7.93   -71.4   136.6   8.0   1.9    13.3
10/03/19 20:05:31 17.85  0.471    407   0.23  15.809   3.171  7.91   -70.7   138.1   7.5   1.8    13.3
10/03/19 20:35:31 17.85  0.472    407   0.23  15.813   3.180  7.92   -71.2   133.3   7.5   1.8    13.4
10/03/19 21:05:31 17.82  0.471    407   0.23  15.812   3.178  7.92   -71.2   133.3   7.2   1.7    13.3
10/03/19 21:35:31 17.81  0.472    407   0.23  15.818   3.192  7.91   -70.4   137.5   7.9   1.9    13.3
10/03/19 22:05:31 17.81  0.472    407   0.23  15.816   3.187  7.91   -70.4   137.2   5.6   1.3    13.3
10/03/19 22:35:31 17.79  0.472    407   0.23  15.813   3.179  7.91   -70.4   137.5   6.5   1.5    13.3
10/03/19 23:05:31 17.79  0.471    407   0.23  15.815   3.186  7.91   -70.4   137.7   4.1   1.0    13.3
10/03/19 23:35:31 17.78  0.471    406   0.23  15.817   3.188  7.91   -70.5   137.1   6.8   1.6    13.3
